Processes,Size,Algorithm,Latency
8,64,4,1.12
8,128,1,9.84
8,128,2,17.95
8,128,3,10.59
8,128,4,1.14
8,256,1,9.70
8,256,2,14.87
8,256,3,10.08
8,256,4,10.22
8,512,1,12.28
8,512,2,9.02
8,512,3,12.56
8,512,4,7.13
8,1024,1,13.73
8,1024,2,21.64
8,1024,3,14.57
8,1024,4,9.09
8,2048,1,11.40
8,2048,2,17.44
8,2048,3,21.24
8,2048,4,14.56
8,4096,1,20.79
8,4096,2,16.84
8,4096,3,38.82
8,4096,4,14.67
8,8192,1,24.60
8,8192,2,19.94
8,8192,3,32.48
8,8192,4,22.01
8,16384,1,12.59
8,16384,2,10.79
8,16384,3,22.57
8,16384,4,33.69
8,32768,1,14.85
8,32768,2,16.55
8,32768,3,30.17
8,32768,4,39.89
8,65536,1,24.68
8,65536,2,29.19
8,65536,3,52.38
8,65536,4,41.26
8,131072,1,59.22
8,131072,2,55.34
8,131072,3,84.42
8,131072,4,50.32
8,262144,1,116.22
8,262144,2,105.08
8,262144,3,158.39
8,262144,4,74.59
8,524288,1,235.64
8,524288,2,213.89
8,524288,3,301.78
8,524288,4,195.75
8,1048576,1,418.13
8,1048576,2,428.99
8,1048576,3,567.46
8,1048576,4,321.24
10,2,1,2.69
10,2,2,7.17
10,2,3,4.91
10,2,4,2.71
10,4,1,2.47
10,4,2,2.64
10,4,3,3.51
10,4,4,5.24
10,8,1,2.18
10,8,2,2.10
10,8,3,2.71
10,8,4,5.54
10,16,1,1.78
10,16,2,1.94
10,16,3,2.71
10,16,4,1.87
10,32,1,2.68
10,32,2,2.28
10,32,3,6.84
10,32,4,2.56
10,64,1,1.32
10,64,2,1.69
10,64,3,2.30
10,64,4,3.03
10,128,1,11.67
10,128,2,7.85
10,128,3,13.26
10,128,4,1.51
10,256,1,12.89
10,256,2,8.02
10,256,3,13.92
10,256,4,19.47
10,512,1,13.08
10,512,2,9.30
10,512,3,16.83
10,512,4,11.41
10,1024,1,15.23
10,1024,2,9.97
10,1024,3,18.87
10,1024,4,12.21
10,2048,1,15.50
10,2048,2,18.79
10,2048,3,21.90
10,2048,4,14.19
10,4096,1,52.89
10,4096,2,18.43
10,4096,3,41.00
10,4096,4,29.20
10,8192,1,30.59
10,8192,2,22.40
10,8192,3,44.23
10,8192,4,29.70
10,16384,1,10.62
10,16384,2,12.71
10,16384,3,27.69
10,16384,4,31.14
10,32768,1,19.67
10,32768,2,19.57
10,32768,3,39.32
10,32768,4,56.86
10,65536,1,37.37
10,65536,2,36.87
10,65536,3,59.87
10,65536,4,37.89
10,131072,1,76.88
10,131072,2,63.13
10,131072,3,104.82
10,131072,4,59.77
10,262144,1,150.94
10,262144,2,118.67
10,262144,3,195.04
10,262144,4,81.45
10,524288,1,259.07
10,524288,2,237.33
10,524288,3,363.79
10,524288,4,186.99
10,1048576,1,539.55
10,1048576,2,432.67
10,1048576,3,701.63
10,1048576,4,370.74
12,2,1,2.25
12,2,2,2.58
12,2,3,3.44
12,2,4,3.08
12,4,1,2.02
12,4,2,2.23
12,4,3,3.00
12,4,4,2.15
12,8,1,1.69
12,8,2,1.68
12,8,3,2.68
12,8,4,2.05
12,16,1,1.43
12,16,2,1.54
12,16,3,2.75
12,16,4,1.81
12,32,1,2.38
12,32,2,1.73
12,32,3,3.72
12,32,4,1.90
12,64,1,1.23
12,64,2,1.01
12,64,3,2.38
12,64,4,6.24
12,128,1,13.37
12,128,2,8.75
12,128,3,15.63
12,128,4,2.63
12,256,1,12.75
12,256,2,9.72
12,256,3,16.09
12,256,4,12.84
12,512,1,37.04
12,512,2,10.43
12,512,3,17.58
12,512,4,12.20
12,1024,1,16.97
12,1024,2,11.27
12,1024,3,20.66
12,1024,4,15.22
12,2048,1,19.77
12,2048,2,14.23
12,2048,3,26.94
12,2048,4,15.48
12,4096,1,67.46
12,4096,2,21.61
12,4096,3,42.05
12,4096,4,29.05
12,8192,1,35.27
12,8192,2,44.86
12,8192,3,59.08
12,8192,4,33.90
12,16384,1,12.50
12,16384,2,15.84
12,16384,3,34.23
12,16384,4,35.51
12,32768,1,21.46
12,32768,2,21.95
12,32768,3,56.81
12,32768,4,31.21
12,65536,1,44.42
12,65536,2,38.72
12,65536,3,82.53
12,65536,4,38.39
12,131072,1,95.88
12,131072,2,75.02
12,131072,3,127.83
12,131072,4,55.37
12,262144,1,171.50
12,262144,2,134.55
12,262144,3,227.86
12,262144,4,85.60
12,524288,1,311.63
12,524288,2,258.87
12,524288,3,509.35
12,524288,4,198.79
12,1048576,1,673.97
12,1048576,2,525.28
12,1048576,3,837.92
12,1048576,4,494.76
14,2,1,2.31
14,2,2,6.07
14,2,3,3.70
14,2,4,2.84
14,4,1,2.61
14,4,2,1.94
14,4,3,3.65
14,4,4,2.12
14,8,1,1.25
14,8,2,4.56
14,8,3,2.59
14,8,4,2.03
14,16,1,1.48
14,16,2,1.30
14,16,3,6.43
14,16,4,1.74
14,32,1,1.72
14,32,2,1.42
14,32,3,3.40
14,32,4,1.67
14,64,1,2.63
14,64,2,1.49
14,64,3,2.54
14,64,4,4.54
14,128,1,16.06
14,128,2,8.51
14,128,3,18.00
14,128,4,2.54
14,256,1,15.49
14,256,2,8.89
14,256,3,17.43
14,256,4,12.89
14,512,1,19.27
14,512,2,11.62
14,512,3,23.40
14,512,4,12.38
14,1024,1,48.93
14,1024,2,11.55
14,1024,3,26.08
14,1024,4,13.43
14,2048,1,27.64
14,2048,2,26.15
14,2048,3,32.46
14,2048,4,19.44
14,4096,1,37.41
14,4096,2,28.10
14,4096,3,57.18
14,4096,4,26.88
14,8192,1,38.18
14,8192,2,26.62
14,8192,3,58.62
14,8192,4,39.05
14,16384,1,15.51
14,16384,2,16.95
14,16384,3,38.07
14,16384,4,38.61
14,32768,1,29.92
14,32768,2,25.85
14,32768,3,54.30
14,32768,4,50.35
14,65536,1,61.80
14,65536,2,45.29
14,65536,3,89.28
14,65536,4,42.89
14,131072,1,122.27
14,131072,2,81.73
14,131072,3,160.13
14,131072,4,68.01
14,262144,1,256.93
14,262144,2,167.72
14,262144,3,280.77
14,262144,4,115.78
14,524288,1,493.80
14,524288,2,307.73
14,524288,3,524.43
14,524288,4,336.77
14,1048576,1,868.50
14,1048576,2,581.04
14,1048576,3,1024.78
14,1048576,4,522.25
16,2,1,1.57
16,2,2,1.28
16,2,3,3.10
16,2,4,1.82
16,4,1,2.07
16,4,2,1.47
16,4,3,3.50
16,4,4,2.03
16,8,1,1.44
16,8,2,1.75
16,8,3,3.24
16,8,4,1.76
16,16,1,1.60
16,16,2,1.14
16,16,3,3.24
16,16,4,1.58
16,32,1,1.97
16,32,2,1.36
16,32,3,3.57
16,32,4,1.77
16,64,1,1.96
16,64,2,2.74
16,64,3,3.64
16,64,4,2.43
16,128,1,20.35
16,128,2,12.09
16,128,3,27.99
16,128,4,4.48
16,256,1,15.43
16,256,2,7.65
16,256,3,18.69
16,256,4,15.71
16,512,1,40.68
16,512,2,8.68
16,512,3,23.73
16,512,4,7.51
16,1024,1,20.81
16,1024,2,11.41
16,1024,3,23.37
16,1024,4,10.35
16,2048,1,30.48
16,2048,2,16.69
16,2048,3,38.92
16,2048,4,13.48
16,4096,1,34.13
16,4096,2,25.08
16,4096,3,51.43
16,4096,4,18.52
16,8192,1,35.65
16,8192,2,24.01
16,8192,3,64.91
16,8192,4,41.49
16,16384,1,17.06
16,16384,2,25.99
16,16384,3,45.19
16,16384,4,39.85
16,32768,1,36.54
16,32768,2,32.69
16,32768,3,70.68
16,32768,4,55.17
16,65536,1,74.79
16,65536,2,57.19
16,65536,3,
