200,1,3.17877316166666666666
200,2,2.74185643566666666666
200,4,2.73664396900000000000
200,8,2.72549643066666666666
200,16,2.72837153466666666666
200,32,2.73656764366666666666
400,1,2.81931220800000000000
400,2,2.77025502966666666666
400,4,2.78107936133333333333
400,8,2.76581135500000000000
400,16,2.74743806033333333333
400,32,2.73366462100000000000
600,1,2.91591674100000000000
600,2,2.81608673433333333333
600,4,2.83331046566666666666
600,8,2.81193836833333333333
600,16,2.79273518866666666666
600,32,2.75362627666666666666
800,1,3.07526249333333333333
800,2,2.90594265000000000000
800,4,2.91072647233333333333
800,8,2.87778216400000000000
800,16,2.81782233500000000000
800,32,2.77503079266666666666
1000,1,3.26906616433333333333
1000,2,2.99153075333333333333
1000,4,3.01333612900000000000
1000,8,2.97219244233333333333
1000,16,2.88313037066666666666
1000,32,2.80895615100000000000
