Processes,Size,Algorithm,Latency
10,256,3,5.23
10,512,1,1.84
10,512,2,27.64
10,512,3,4.24
10,1024,1,3.73
10,1024,2,27.74
10,1024,3,4.93
10,2048,1,2.15
10,2048,2,29.86
10,2048,3,4.10
10,4096,1,1.80
10,4096,2,27.64
10,4096,3,4.77
10,8192,1,1.72
10,8192,2,38.00
10,8192,3,8.72
10,16384,1,2.12
10,16384,2,36.89
10,16384,3,6.37
10,32768,1,3.74
10,32768,2,28.76
10,32768,3,6.58
10,65536,1,2.00
10,65536,2,28.49
10,65536,3,4.17
10,131072,1,1.84
10,131072,2,28.03
10,131072,3,4.16
10,262144,1,1.57
10,262144,2,36.59
10,262144,3,4.20
10,524288,1,1.72
10,524288,2,28.02
10,524288,3,6.53
10,1048576,1,1.67
10,1048576,2,28.09
10,1048576,3,6.63
12,2,1,3.50
12,2,2,32.92
12,2,3,9.22
12,4,1,2.04
12,4,2,41.85
12,4,3,5.88
12,8,1,4.24
12,8,2,34.56
12,8,3,4.76
12,16,1,2.25
12,16,2,34.35
12,16,3,11.99
12,32,1,5.39
12,32,2,33.33
12,32,3,6.02
12,64,1,3.85
12,64,2,36.13
12,64,3,5.24
12,128,1,4.20
12,128,2,47.26
12,128,3,10.79
12,256,1,2.58
12,256,2,42.88
12,256,3,6.03
12,512,1,3.19
12,512,2,33.86
12,512,3,5.47
12,1024,1,2.28
12,1024,2,36.04
12,1024,3,6.35
12,2048,1,2.29
12,2048,2,38.40
12,2048,3,6.41
12,4096,1,2.17
12,4096,2,50.36
12,4096,3,5.85
12,8192,1,2.08
12,8192,2,33.62
12,8192,3,11.64
12,16384,1,2.56
12,16384,2,33.43
12,16384,3,5.34
12,32768,1,2.00
12,32768,2,37.07
12,32768,3,5.33
12,65536,1,1.99
12,65536,2,33.43
12,65536,3,5.17
12,131072,1,2.01
12,131072,2,33.27
12,131072,3,5.22
12,262144,1,3.15
12,262144,2,33.39
12,262144,3,8.61
12,524288,1,2.96
12,524288,2,33.34
12,524288,3,10.70
12,1048576,1,2.35
12,1048576,2,66.28
12,1048576,3,5.24
14,2,1,4.96
14,2,2,47.95
14,2,3,6.97
14,4,1,3.88
14,4,2,45.97
14,4,3,5.84
14,8,1,2.44
14,8,2,44.26
14,8,3,10.70
14,16,1,2.69
14,16,2,40.91
14,16,3,12.32
14,32,1,2.59
14,32,2,51.07
14,32,3,6.71
14,64,1,2.45
14,64,2,52.77
14,64,3,8.75
14,128,1,3.72
14,128,2,71.75
14,128,3,5.88
14,256,1,3.36
14,256,2,55.81
14,256,3,11.24
14,512,1,5.09
14,512,2,58.92
14,512,3,10.69
14,1024,1,3.62
14,1024,2,57.16
14,1024,3,7.47
14,2048,1,3.30
14,2048,2,51.92
14,2048,3,5.95
14,4096,1,2.51
14,4096,2,43.25
14,4096,3,10.72
14,8192,1,2.60
14,8192,2,42.73
14,8192,3,9.08
14,16384,1,3.09
14,16384,2,53.31
14,16384,3,10.20
14,32768,1,3.59
14,32768,2,40.92
14,32768,3,11.39
14,65536,1,2.44
14,65536,2,51.49
14,65536,3,5.68
14,131072,1,2.69
14,131072,2,55.88
14,131072,3,10.45
14,262144,1,2.74
14,262144,2,56.25
14,262144,3,10.75
14,524288,1,2.76
14,524288,2,62.84
14,524288,3,5.87
14,1048576,1,2.60
14,1048576,2,44.76
14,1048576,3,11.76
16,2,1,3.84
16,2,2,51.30
16,2,3,7.54
16,4,1,3.17
16,4,2,56.43
16,4,3,8.23
16,8,1,2.92
16,8,2,49.65
16,8,3,4.42
16,16,1,3.19
16,16,2,48.53
16,16,3,4.60
16,32,1,2.91
16,32,2,50.76
16,32,3,5.49
16,64,1,5.87
16,64,2,49.86
16,64,3,10.04
16,128,1,3.55
16,128,2,50.44
16,128,3,5.03
16,256,1,3.90
16,256,2,62.60
16,256,3,9.22
16,512,1,4.03
16,512,2,48.78
16,512,3,7.85
16,1024,1,3.20
16,1024,2,52.90
16,1024,3,4.80
16,2048,1,2.80
16,2048,2,52.35
16,2048,3,7.51
16,4096,1,3.34
16,4096,2,51.14
16,4096,3,8.87
16,8192,1,3.54
16,8192,2,59.35
16,8192,3,8.03
16,16384,1,3.02
16,16384,2,51.25
16,16384,3,8.85
16,32768,1,2.86
16,32768,2,47.24
16,32768,3,10.12
16,65536,1,3.80
16,65536,2,50.19
16,65536,3,8.45
16,131072,1,2.82
16,131072,2,53.56
16,131072,3,7.71
16,262144,1,2.95
16,262144,2,51.23
16,262144,3,6.86
16,524288,1,2.78
16,524288,2,65.07
16,524288,3,8.67
16,1048576,1,2.92
16,1048576,2,65.90
16,1048576,3,5.01
18,2,1,3.38
18,2,2,53.27
18,2,3,12.04
18,4,1,3.46
18,4,2,58.17
18,4,3,10.49
18,8,1,4.46
18,8,2,64.25
18,8,3,8.53
18,16,1,3.54
18,16,2,53.73
18,16,3,10.04
18,32,1,3.28
18,32,2,80.15
18,32,3,16.41
18,64,1,6.58
18,64,2,60.78
18,64,3,9.00
18,128,1,3.48
18,128,2,56.51
18,128,3,30.64
18,256,1,4.38
18,256,2,59.89
18,256,3,8.57
18,512,1,3.23
18,512,2,55.28
18,512,3,8.92
18,1024,1,4.19
18,1024,2,58.23
18,1024,3,12.15
18,2048,1,3.81
18,2048,2,75.41
18,2048,3,14.53
18,4096,1,3.93
18,4096,2,54.08
18,4096,3,8.47
18,8192,1,3.32
18,8192,2,66.03
18,8192,3,15.58
18,16384,1,3.97
18,16384,2,64.64
18,16384,3,18.59
18,32768,1,3.09
18,32768,2,57.38
18,32768,3,10.38
18,65536,1,2.96
18,65536,2,56.10
18,65536,3,15.08
18,131072,1,3.22
18,131072,2,62.06
18,131072,3,23.08
18,262144,1,3.83
18,262144,2,59.38
18,262144,3,13.03
18,524288,1,3.40
18,524288,2,54.89
18,524288,3,11.07
18,1048576,1,4.35
18,1048576,2,53.18
18,1048576,3,10.58
20,2,1,5.09
20,2,2,67.72
20,2,3,8.63
20,4,1,3.80
20,4,2,84.85
20,4,3,20.10
20,8,1,4.30
20,8,2,83.74
20,8,3,19.05
20,16,1,5.04
20,16,2,71.46
20,16,3,9.81
20,32,1,5.97
20,32,2,72.04
20,32,3,15.37
20,64,1,3.52
20,64,2,80.53
20,64,3,11.73
20,128,1,4.04
20,128,2,67.95
20,128,3,14.81
20,256,1,3.94
20,256,2,69.66
20,256,3,14.34
20,512,1,3.98
20,512,2,71.72
20,512,3,14.13
20,1024,1,4.42
20,1024,2,58.97
20,1024,3,9.95
20,2048,1,4.55
20,2048,2,67.37
20,2048,3,15.03
20,4096,1,3.83
20,4096,2,65.54
20,4096,3,9.39
20,8192,1,5.82
20,8192,2,77.07
20,8192,3,10.25
20,16384,1,4.23
20,16384,2,69.63
20,16384,3,10.46
20,32768,1,3.63
20,32768,2,73.16
20,32768,3,16.77
20,65536,1,3.84
20,65536,2,65.29
20,65536,3,10.89
20,131072,1,4.27
20,131072,2,63.31
20,131072,3,14.13
20,262144,1,7.30
20,262144,2,75.71
20,262144,3,10.29
20,524288,1,9.74
20,524288,2,66.86
20,524288,3,10.62
