Processes,Size,Algorithm,Latency
10,256,3,11.64
10,512,1,5.42
10,512,2,3.97
10,512,3,8.30
10,1024,1,8.16
10,1024,2,10.81
10,1024,3,15.32
10,2048,1,10.12
10,2048,2,8.90
10,2048,3,15.22
10,4096,1,16.76
10,4096,2,26.20
10,4096,3,24.77
10,8192,1,21.53
10,8192,2,17.74
10,8192,3,30.03
10,16384,1,11.29
10,16384,2,13.29
10,16384,3,29.82
10,32768,1,20.23
10,32768,2,20.62
10,32768,3,39.03
10,65536,1,38.50
10,65536,2,37.73
10,65536,3,61.81
10,131072,1,73.13
10,131072,2,63.54
10,131072,3,105.71
10,262144,1,136.06
10,262144,2,122.29
10,262144,3,193.72
10,524288,1,294.80
10,524288,2,238.60
10,524288,3,369.56
10,1048576,1,519.06
10,1048576,2,468.45
10,1048576,3,716.54
12,2,1,1.78
12,2,2,2.54
12,2,3,2.99
12,4,1,4.72
12,4,2,1.48
12,4,3,4.20
12,8,1,1.55
12,8,2,1.59
12,8,3,2.46
12,16,1,1.49
12,16,2,1.61
12,16,3,2.85
12,32,1,1.40
12,32,2,1.37
12,32,3,3.13
12,64,1,1.32
12,64,2,1.16
12,64,3,3.38
12,128,1,12.67
12,128,2,9.03
12,128,3,16.62
12,256,1,15.61
12,256,2,9.46
12,256,3,21.29
12,512,1,5.31
12,512,2,4.74
12,512,3,12.48
12,1024,1,10.25
12,1024,2,7.94
12,1024,3,13.95
12,2048,1,14.59
12,2048,2,10.29
12,2048,3,23.04
12,4096,1,23.31
12,4096,2,28.36
12,4096,3,33.95
12,8192,1,32.55
12,8192,2,23.32
12,8192,3,41.41
12,16384,1,12.18
12,16384,2,14.86
12,16384,3,34.05
12,32768,1,23.55
12,32768,2,26.44
12,32768,3,47.82
12,65536,1,45.60
12,65536,2,40.87
12,65536,3,73.94
12,131072,1,86.87
12,131072,2,75.37
12,131072,3,137.19
12,262144,1,189.51
12,262144,2,151.56
12,262144,3,235.64
12,524288,1,308.30
12,524288,2,266.22
12,524288,3,441.71
12,1048576,1,716.59
12,1048576,2,561.11
12,1048576,3,855.72
14,2,1,2.08
14,2,2,1.31
14,2,3,2.75
14,4,1,1.32
14,4,2,1.80
14,4,3,2.69
14,8,1,1.41
14,8,2,1.65
14,8,3,2.72
14,16,1,1.60
14,16,2,1.58
14,16,3,3.76
14,32,1,1.35
14,32,2,1.47
14,32,3,6.21
14,64,1,1.26
14,64,2,1.11
14,64,3,2.83
14,128,1,19.15
14,128,2,11.12
14,128,3,19.48
14,256,1,43.68
14,256,2,11.47
14,256,3,23.89
14,512,1,14.13
14,512,2,5.85
14,512,3,13.04
14,1024,1,13.36
14,1024,2,9.15
14,1024,3,17.04
14,2048,1,18.93
14,2048,2,13.14
14,2048,3,32.73
14,4096,1,36.45
14,4096,2,22.47
14,4096,3,50.48
14,8192,1,38.23
14,8192,2,27.76
14,8192,3,55.15
14,16384,1,16.05
14,16384,2,21.66
14,16384,3,45.93
14,32768,1,31.09
14,32768,2,26.83
14,32768,3,61.56
14,65536,1,66.14
14,65536,2,48.69
14,65536,3,115.36
14,131072,1,138.33
14,131072,2,86.48
14,131072,3,161.59
14,262144,1,274.34
14,262144,2,163.35
14,262144,3,289.74
14,524288,1,508.35
14,524288,2,308.40
14,524288,3,528.72
14,1048576,1,844.04
14,1048576,2,603.85
14,1048576,3,1036.20
16,2,1,1.38
16,2,2,1.93
16,2,3,3.38
16,4,1,1.63
16,4,2,1.37
16,4,3,3.15
16,8,1,1.44
16,8,2,1.49
16,8,3,3.42
16,16,1,2.46
16,16,2,1.46
16,16,3,3.44
16,32,1,1.82
16,32,2,1.47
16,32,3,4.83
16,64,1,2.67
16,64,2,1.46
16,64,3,3.98
16,128,1,20.64
16,128,2,11.30
16,128,3,23.12
16,256,1,20.53
16,256,2,11.06
16,256,3,22.15
16,512,1,20.46
16,512,2,17.04
16,512,3,24.68
16,1024,1,20.28
16,1024,2,13.42
16,1024,3,26.72
16,2048,1,25.59
16,2048,2,28.18
16,2048,3,42.41
16,4096,1,41.56
16,4096,2,25.89
16,4096,3,70.38
16,8192,1,49.78
16,8192,2,25.60
16,8192,3,64.22
16,16384,1,21.42
16,16384,2,23.90
16,16384,3,47.47
16,32768,1,39.61
16,32768,2,31.84
16,32768,3,71.30
16,65536,1,83.13
16,65536,2,64.89
16,65536,3,101.22
16,131072,1,156.24
16,131072,2,112.96
16,131072,3,189.81
16,262144,1,332.43
16,262144,2,220.89
16,262144,3,330.90
16,524288,1,571.73
16,524288,2,455.26
16,524288,3,612.11
16,1048576,1,991.53
16,1048576,2,760.17
16,1048576,3,1189.33
18,2,1,4.54
18,2,2,5.06
18,2,3,6.86
18,4,1,3.04
18,4,2,3.46
18,4,3,6.40
18,8,1,3.85
18,8,2,6.69
18,8,3,5.59
18,16,1,3.17
18,16,2,4.44
18,16,3,5.03
18,32,1,3.08
18,32,2,3.04
18,32,3,5.98
18,64,1,2.61
18,64,2,2.93
18,64,3,4.95
18,128,1,23.17
18,128,2,15.45
18,128,3,30.39
18,256,1,29.08
18,256,2,26.26
18,256,3,45.34
18,512,1,22.87
18,512,2,17.73
18,512,3,36.73
18,1024,1,26.18
