Processes,Size,Algorithm,Latency
10,256,3,4.96
10,512,1,1.80
10,512,2,32.52
10,512,3,6.16
10,1024,1,1.84
10,1024,2,49.64
10,1024,3,5.31
10,2048,1,1.80
10,2048,2,30.76
10,2048,3,5.06
10,4096,1,2.19
10,4096,2,31.84
10,4096,3,4.40
10,8192,1,1.75
10,8192,2,31.46
10,8192,3,4.86
10,16384,1,1.87
10,16384,2,27.84
10,16384,3,4.59
10,32768,1,1.81
10,32768,2,29.48
10,32768,3,4.32
10,65536,1,1.79
10,65536,2,28.77
10,65536,3,4.31
10,131072,1,1.93
10,131072,2,32.13
10,131072,3,23.26
10,262144,1,3.48
10,262144,2,30.29
10,262144,3,4.64
10,524288,1,1.94
10,524288,2,41.79
10,524288,3,4.62
10,1048576,1,1.67
10,1048576,2,27.60
10,1048576,3,4.62
12,2,1,2.37
12,2,2,33.17
12,2,3,6.51
12,4,1,2.52
12,4,2,33.94
12,4,3,6.81
12,8,1,2.36
12,8,2,41.20
12,8,3,5.46
12,16,1,2.42
12,16,2,32.96
12,16,3,10.07
12,32,1,2.35
12,32,2,39.30
12,32,3,6.15
12,64,1,3.74
12,64,2,49.23
12,64,3,5.63
12,128,1,4.46
12,128,2,37.89
12,128,3,7.38
12,256,1,2.63
12,256,2,35.86
12,256,3,9.13
12,512,1,2.20
12,512,2,35.33
12,512,3,5.76
12,1024,1,2.28
12,1024,2,36.45
12,1024,3,5.71
12,2048,1,2.15
12,2048,2,36.26
12,2048,3,7.18
12,4096,1,2.88
12,4096,2,38.34
12,4096,3,5.42
12,8192,1,4.93
12,8192,2,34.78
12,8192,3,10.94
12,16384,1,2.26
12,16384,2,39.63
12,16384,3,7.82
12,32768,1,2.28
12,32768,2,37.99
12,32768,3,8.08
12,65536,1,2.68
12,65536,2,34.47
12,65536,3,5.93
12,131072,1,2.09
12,131072,2,35.70
12,131072,3,5.30
12,262144,1,2.66
12,262144,2,35.78
12,262144,3,5.44
12,524288,1,2.39
12,524288,2,35.99
12,524288,3,5.59
12,1048576,1,2.33
12,1048576,2,34.38
12,1048576,3,6.94
14,2,1,3.05
14,2,2,58.02
14,2,3,18.08
14,4,1,5.23
14,4,2,44.66
14,4,3,6.92
14,8,1,4.48
14,8,2,44.31
14,8,3,14.56
14,16,1,3.04
14,16,2,47.81
14,16,3,7.29
14,32,1,2.86
14,32,2,48.46
14,32,3,11.76
14,64,1,4.15
14,64,2,46.36
14,64,3,14.60
14,128,1,3.10
14,128,2,55.19
14,128,3,9.86
14,256,1,3.42
14,256,2,56.71
14,256,3,11.76
14,512,1,3.50
14,512,2,46.99
14,512,3,6.55
14,1024,1,5.18
14,1024,2,47.03
14,1024,3,11.65
14,2048,1,2.69
14,2048,2,52.80
14,2048,3,12.57
14,4096,1,4.25
14,4096,2,52.68
14,4096,3,10.53
14,8192,1,3.35
14,8192,2,47.23
14,8192,3,6.45
14,16384,1,3.27
14,16384,2,63.01
14,16384,3,7.23
14,32768,1,2.68
14,32768,2,62.54
14,32768,3,8.98
14,65536,1,3.43
14,65536,2,63.03
14,65536,3,11.18
14,131072,1,2.79
14,131072,2,62.42
14,131072,3,7.21
14,262144,1,2.75
14,262144,2,63.09
14,262144,3,7.80
14,524288,1,2.94
14,524288,2,53.50
14,524288,3,12.08
14,1048576,1,4.60
14,1048576,2,50.15
14,1048576,3,7.53
16,2,1,3.99
16,2,2,66.73
16,2,3,4.87
16,4,1,3.65
16,4,2,65.04
16,4,3,6.63
16,8,1,3.36
16,8,2,63.27
16,8,3,8.27
16,16,1,5.81
16,16,2,67.36
16,16,3,4.61
16,32,1,3.76
16,32,2,70.30
16,32,3,6.25
16,64,1,4.61
16,64,2,62.70
16,64,3,5.38
16,128,1,3.70
16,128,2,64.57
16,128,3,5.79
16,256,1,4.20
16,256,2,67.51
16,256,3,10.05
16,512,1,3.55
16,512,2,62.94
16,512,3,5.14
16,1024,1,3.37
16,1024,2,60.57
16,1024,3,6.43
16,2048,1,4.03
16,2048,2,62.43
16,2048,3,11.00
16,4096,1,3.54
16,4096,2,69.56
16,4096,3,5.33
16,8192,1,3.62
16,8192,2,66.06
16,8192,3,5.87
16,16384,1,3.26
16,16384,2,58.66
16,16384,3,9.15
16,32768,1,3.69
16,32768,2,64.59
16,32768,3,6.46
16,65536,1,3.61
16,65536,2,54.73
16,65536,3,9.68
16,131072,1,4.12
16,131072,2,66.60
16,131072,3,11.12
16,262144,1,3.24
16,262144,2,61.30
16,262144,3,7.38
16,524288,1,3.67
16,524288,2,70.78
16,524288,3,5.15
16,1048576,1,4.32
16,1048576,2,60.36
16,1048576,3,7.47
18,2,1,6.24
18,2,2,70.79
18,2,3,21.89
18,4,1,3.83
18,4,2,76.35
18,4,3,13.50
18,8,1,5.45
18,8,2,77.48
18,8,3,13.00
18,16,1,6.45
18,16,2,89.58
18,16,3,16.15
18,32,1,4.23
18,32,2,73.65
18,32,3,11.04
18,64,1,3.65
18,64,2,78.53
18,64,3,23.99
18,128,1,6.81
18,128,2,75.14
18,128,3,10.48
18,256,1,3.66
18,256,2,66.90
18,256,3,14.98
18,512,1,4.87
18,512,2,85.01
18,512,3,13.18
18,1024,1,4.86
18,1024,2,74.38
18,1024,3,15.26
18,2048,1,5.61
18,2048,2,80.96
18,2048,3,13.71
18,4096,1,4.95
18,4096,2,75.96
18,4096,3,13.30
18,8192,1,5.97
18,8192,2,85.92
18,8192,3,15.31
18,16384,1,4.24
18,16384,2,67.69
18,16384,3,17.01
18,32768,1,4.25
18,32768,2,57.72
18,32768,3,14.08
18,65536,1,4.72
18,65536,2,84.95
18,65536,3,16.99
18,131072,1,4.55
18,131072,2,64.61
18,131072,3,19.87
18,262144,1,7.15
18,262144,2,68.07
18,262144,3,16.76
18,524288,1,4.93
18,524288,2,87.43
18,524288,3,19.01
18,1048576,1,5.11
18,1048576,2,76.98
18,1048576,3,15.26
20,2,1,4.90
20,2,2,73.92
20,2,3,13.20
20,4,1,5.76
20,4,2,86.14
20,4,3,10.53
20,8,1,4.53
20,8,2,69.47
20,8,3,20.79
20,16,1,4.57
20,16,2,79.94
20,16,3,17.17
20,32,1,4.25
20,32,2,82.08
20,32,3,12.64
20,64,1,5.32
20,64,2,81.66
20,64,3,18.09
20,128,1,4.24
20,128,2,80.36
20,128,3,17.06
20,256,1,4.23
20,256,2,67.18
20,256,3,16.30
20,512,1,4.66
20,512,2,96.87
20,512,3,18.24
20,1024,1,7.31
20,1024,2,87.43
20,1024,3,19.87
20,2048,1,5.00
20,2048,2,74.89
20,2048,3,12.46
20,4096,1,6.15
20,4096,2,101.95
20,4096,3,20.56
20,8192,1,5.29
20,8192,2,67.87
20,8192,3,14.32
20,16384,1,4.24
20,16384,2,88.34
20,16384,3,15.48
20,32768,1,5.39
20,32768,2,74.49
20,32768,3,15.06
20,65536,1,7.66
20,65536,2,73.40
20,65536,3,21.15
20,131072,1,4.75
20,131072,2,65.06
20,131072,3,18.33
20,262144,1,4.29
20,262144,2,88.51
20,262144,3,17.83
20,524288,1,4.18
20,524288,2,81.91
20,524288,3,12.53
20,1048576,1,6.03
20,1048576,2,89.00
20,1048576,3,13.88
22,2,1,7.90
22,2,2,82.82
22,2,3,19.56
22,4,1,4.19
22,4,2,96.11
22,4,3,23.17
22,8,1,7.15
22,8,2,91.51
22,8,3,17.60
22,16,1,5.87
22,16,2,72.83
22,16,3,16.84
22,32,1,4.45
22,32,2,85.96
22,32,3,15.82
22,64,1,9.81
22,64,2,87.99
22,64,3,20.89
22,128,1,6.21
22,128,2,78.28
22,128,3,18.95
22,256,1,5.80
22,256,2,85.21
22,256,3,22.93
22,512,1,4.22
22,512,2,76.01
22,512,3,18.60
22,1024,1,5.48
22,1024,2,84.11
22,1024,3,23.21
22,2048,1,4.32
22,2048,2,80.97
22,2048,3,14.89
22,4096,1,5.31
22,4096,2,102.24
22,4096,3,14.16
22,8192,1,5.21
22,8192,2,77.22
22,8192,3,11.95
22,16384,1,5.89
22,16384,2,87.73
22,16384,3,18.96
22,32768,1,4.34
22,32768,2,84.81
22,32768,3,14.76
22,65536,1,5.96
22,65536,2,88.59
22,65536,3,14.30
22,131072,1,5.05
22,131072,2,89.33
22,131072,3,25.25
22,262144,1,6.70
22,262144,2,88.65
22,262144,3,14.14
22,524288,1,6.07
22,524288,2,88.00
22,524288,3,35.57
22,1048576,1,5.75
22,1048576,2,104.24
22,1048576,3,19.96
24,2,1,6.13
24,2,2,118.03
24,2,3,11.98
24,4,1,7.62
24,4,2,86.81
24,4,3,14.74
24,8,1,6.17
24,8,2,110.61
24,8,3,14.62
24,16,1,5.35
24,16,2,90.02
24,16,3,11.61
24,32,1,6.98
24,32,2,86.13
24,32,3,15.97
24,64,1,6.40
24,64,2,81.43
24,64,3,20.63
24,128,1,8.66
24,128,2,93.12
24,128,3,23.82
24,256,1,5.19
24,256,2,84.86
24,256,3,21.02
24,512,1,4.76
24,512,2,97.57
24,512,3,16.36
24,1024,1,5.36
24,1024,2,76.85
24,1024,3,13.75
24,2048,1,5.72
24,2048,2,91.88
24,2048,3,16.26
24,4096,1,6.79
24,4096,2,97.15
24,4096,3,19.35
24,8192,1,5.82
24,8192,2,108.87
24,8192,3,14.17
24,16384,1,5.67
24,16384,2,83.03
24,16384,3,17.19
24,32768,1,6.58
24,32768,2,86.31
24,32768,3,11.51
24,65536,1,5.91
24,65536,2,108.02
24,65536,3,18.20
24,131072,1,7.30
24,131072,2,90.30
24,131072,3,14.83
24,262144,1,5.01
24,262144,2,81.96
24,262144,3,20.44
24,524288,1,5.55
24,524288,2,96.83
24,524288,3,15.08
24,1048576,1,7.07
24,1048576,2,107.21
24,1048576,3,17.75
26,2,1,7.01
26,2,2,81.89
26,2,3,15.59
26,4,1,6.25
26,4,2,80.26
26,4,3,17.06
26,8,1,6.89
26,8,2,87.80
26,8,3,14.62
26,16,1,7.78
26,16,2,82.19
26,16,3,12.47
26,32,1,5.72
26,32,2,79.27
26,32,3,12.71
26,64,1,6.71
26,64,2,82.96
26,64,3,14.71
26,128,1,6.36
26,128,2,81.12
26,128,3,20.08
26,256,1,6.36
26,256,2,79.67
26,256,3,23.51
26,512,1,6.66
26,512,2,80.39
26,512,3,16.77
26,1024,1,6.07
26,1024,2,78.97
26,1024,3,19.85
26,2048,1,5.49
26,2048,2,84.11
26,2048,3,25.15
26,4096,1,6.86
26,4096,2,80.13
26,4096,3,20.64
26,8192,1,5.27
26,8192,2,82.55
26,8192,3,18.78
26,16384,1,6.17
26,16384,2,79.53
26,16384,3,13.96
26,32768,1,5.85
26,32768,2,81.67
26,32768,3,14.81
26,65536,1,5.41
26,65536,2,83.88
26,65536,3,13.62
26,131072,1,5.18
26,131072,2,82.03
26,131072,3,15.23
26,262144,1,5.05
26,262144,2,83.16
26,262144,3,15.51
26,524288,1,5.32
26,524288,2,83.73
26,524288,3,17.62
26,1048576,1,5.59
26,1048576,2,82.23
26,1048576,3,24.93
28,2,1,5.61
28,2,2,91.75
28,2,3,24.61
28,4,1,6.13
28,4,2,94.09
28,4,3,22.91
28,8,1,6.39
28,8,2,89.65
28,8,3,14.14
28,16,1,5.98
28,16,2,83.52
28,16,3,20.79
28,32,1,6.03
28,32,2,89.64
28,32,3,19.44
28,64,1,6.34
28,64,2,93.70
28,64,3,26.36
28,128,1,6.48
28,128,2,89.95
28,128,3,13.21
28,256,1,5.80
28,256,2,94.11
28,256,3,19.13
28,512,1,8.79
28,512,2,88.71
28,512,3,18.97
28,1024,1,5.89
28,1024,2,85.64
28,1024,3,21.31
28,2048,1,5.27
28,2048,2,84.41
28,2048,3,14.88
28,4096,1,6.20
28,4096,2,93.70
28,4096,3,22.41
28,8192,1,6.86
28,8192,2,87.71
28,8192,3,21.57
28,16384,1,8.21
28,16384,2,85.66
28,16384,3,11.85
28,32768,1,5.56
28,32768,2,86.93
28,32768,3,30.67
28,65536,1,5.19
28,65536,2,91.59
28,65536,3,22.08
28,131072,1,6.66
28,131072,2,113.64
28,131072,3,22.21
28,262144,1,6.44
28,262144,2,88.21
28,262144,3,21.96
28,524288,1,8.25
28,524288,2,89.69
28,524288,3,12.21
28,1048576,1,5.45
28,1048576,2,92.92
28,1048576,3,16.73
30,2,1,5.09
30,2,2,88.54
30,2,3,11.07
30,4,1,5.22
30,4,2,88.65
30,4,3,12.63
30,8,1,5.15
30,8,2,89.67
30,8,3,17.30
30,16,1,5.36
30,16,2,88.71
30,16,3,16.67
30,32,1,5.12
30,32,2,88.47
30,32,3,10.82
30,64,1,5.50
30,64,2,90.45
30,64,3,15.44
30,128,1,5.07
30,128,2,88.02
30,128,3,17.09
30,256,1,5.67
30,256,2,88.16
30,256,3,21.27
30,512,1,5.71
30,512,2,88.17
30,512,3,18.94
30,1024,1,5.38
30,1024,2,88.13
30,1024,3,10.80
30,2048,1,5.14
30,2048,2,88.87
30,2048,3,16.72
30,4096,1,5.25
30,4096,2,87.86
30,4096,3,10.75
30,8192,1,5.28
30,8192,2,88.67
30,8192,3,18.77
30,16384,1,7.24
30,16384,2,89.03
30,16384,3,16.77
30,32768,1,5.17
30,32768,2,89.15
30,32768,3,16.18
30,65536,1,5.13
30,65536,2,88.03
30,65536,3,18.49
30,131072,1,5.95
30,131072,2,88.54
30,131072,3,15.24
30,262144,1,5.14
30,262144,2,88.45
30,262144,3,15.84
30,524288,1,5.48
30,524288,2,88.27
30,524288,3,17.21
30,1048576,1,6.43
30,1048576,2,88.71
30,1048576,3,18.24
32,2,1,5.69
32,2,2,92.92
32,2,3,17.18
32,4,1,5.67
32,4,2,94.46
32,4,3,15.19
32,8,1,5.58
32,8,2,96.48
32,8,3,15.46
32,16,1,5.73
32,16,2,94.02
32,16,3,14.64
32,32,1,5.44
32,32,2,94.52
32,32,3,18.05
32,64,1,5.51
32,64,2,93.97
32,64,3,16.36
32,128,1,5.41
32,128,2,95.35
32,128,3,16.37
32,256,1,5.32
32,256,2,94.12
32,256,3,12.53
32,512,1,5.59
32,512,2,94.51
32,512,3,15.41
32,1024,1,5.67
32,1024,2,94.54
32,1024,3,14.97
32,2048,1,5.41
32,2048,2,93.93
32,2048,3,15.94
32,4096,1,6.04
32,4096,2,92.72
32,4096,3,14.75
32,8192,1,5.29
32,8192,2,94.32
32,8192,3,17.34
32,16384,1,5.40
32,16384,2,94.07
32,16384,3,23.68
32,32768,1,5.49
32,32768,2,94.37
32,32768,3,13.56
32,65536,1,5.52
32,65536,2,93.67
32,65536,3,11.37
32,131072,1,5.26
32,131072,2,93.12
32,131072,3,16.90
32,262144,1,5.40
32,262144,2,94.07
32,262144,3,13.65
32,524288,1,6.31
32,524288,2,93.72
32,524288,3,12.24
32,1048576,1,5.71
32,1048576,2,94.20
32,1048576,3,13.38
34,2,1,5.63
34,2,2,105.54
34,2,3,12.63
34,4,1,6.04
34,4,2,100.95
34,4,3,14.98
34,8,1,6.10
34,8,2,99.98
34,8,3,11.74
34,16,1,6.11
34,16,2,101.58
34,16,3,15.20
34,32,1,5.87
34,32,2,99.95
34,32,3,12.38
34,64,1,5.82
34,64,2,101.85
34,64,3,13.63
34,128,1,5.95
34,128,2,101.93
34,128,3,16.31
34,256,1,5.78
34,256,2,99.84
34,256,3,13.50
34,512,1,6.01
34,512,2,99.68
34,512,3,15.07
34,1024,1,6.01
34,1024,2,100.86
34,1024,3,16.55
34,2048,1,6.44
34,2048,2,101.97
34,2048,3,13.54
34,4096,1,5.95
34,4096,2,100.35
34,4096,3,11.83
34,8192,1,5.70
34,8192,2,101.11
34,8192,3,14.60
34,16384,1,5.62
34,16384,2,100.12
34,16384,3,10.89
34,32768,1,5.99
34,32768,2,100.53
34,32768,3,11.64
34,65536,1,5.80
34,65536,2,102.89
34,65536,3,13.54
34,131072,1,5.82
34,131072,2,100.52
34,131072,3,13.34
34,262144,1,7.03
34,262144,2,100.71
34,262144,3,10.35
34,524288,1,7.58
34,524288,2,100.84
34,524288,3,15.78
34,1048576,1,5.60
34,1048576,2,100.41
34,1048576,3,12.25
36,2,1,6.54
36,2,2,107.11
36,2,3,11.93
36,4,1,6.29
36,4,2,106.84
36,4,3,13.11
36,8,1,6.46
36,8,2,108.36
36,8,3,13.55
36,16,1,6.39
36,16,2,107.09
36,16,3,14.41
36,32,1,6.31
36,32,2,106.52
36,32,3,12.70
36,64,1,6.27
36,64,2,105.94
36,64,3,14.32
36,128,1,6.80
36,128,2,106.74
36,128,3,12.55
36,256,1,6.26
36,256,2,105.75
36,256,3,14.94
36,512,1,60.93
36,512,2,107.57
36,512,3,10.72
36,1024,1,6.48
36,1024,2,106.16
36,1024,3,10.80
36,2048,1,6.17
36,2048,2,106.37
36,2048,3,15.18
36,4096,1,6.54
36,4096,2,106.33
36,4096,3,14.86
36,8192,1,6.08
36,8192,2,106.76
36,8192,3,13.16
36,16384,1,7.40
36,16384,2,106.73
36,16384,3,14.53
36,32768,1,6.38
36,32768,2,106.00
36,32768,3,13.56
36,65536,1,6.49
36,65536,2,107.36
36,65536,3,10.76
36,131072,1,6.34
36,131072,2,105.53
36,131072,3,13.27
36,262144,1,6.38
36,262144,2,106.03
36,262144,3,15.12
36,524288,1,6.90
36,524288,2,106.82
36,524288,3,12.79
36,1048576,1,6.41
36,1048576,2,105.67
36,1048576,3,14.79
38,2,1,6.96
38,2,2,113.39
38,2,3,17.14
38,4,1,6.82
38,4,2,114.28
38,4,3,14.17
38,8,1,6.79
38,8,2,113.25
38,8,3,14.65
38,16,1,6.83
38,16,2,113.73
38,16,3,16.23
38,32,1,6.70
38,32,2,112.09
38,32,3,19.61
38,64,1,6.41
38,64,2,114.91
38,64,3,15.12
38,128,1,6.87
38,128,2,115.24
38,128,3,14.11
38,256,1,6.39
38,256,2,115.51
38,256,3,17.25
38,512,1,6.76
38,512,2,112.77
38,512,3,13.49
38,1024,1,6.72
38,1024,2,113.56
38,1024,3,13.07
38,2048,1,6.81
38,2048,2,112.84
38,2048,3,14.58
38,4096,1,6.54
38,4096,2,114.14
38,4096,3,17.59
38,8192,1,6.81
38,8192,2,114.09
38,8192,3,13.15
38,16384,1,6.76
38,16384,2,113.28
38,16384,3,16.33
38,32768,1,6.83
38,32768,2,111.63
38,32768,3,16.98
38,65536,1,8.01
38,65536,2,112.86
38,65536,3,16.75
38,131072,1,6.89
38,131072,2,113.39
38,131072,3,15.21
38,262144,1,7.45
38,262144,2,113.13
38,262144,3,13.49
38,524288,1,6.63
38,524288,2,113.50
38,524288,3,13.04
38,1048576,1,6.44
38,1048576,2,115.67
38,1048576,3,13.37
40,2,1,7.12
40,2,2,120.11
40,2,3,12.56
40,4,1,7.49
40,4,2,118.70
40,4,3,11.48
40,8,1,7.23
40,8,2,120.11
40,8,3,14.35
40,16,1,7.27
40,16,2,120.52
40,16,3,11.25
40,32,1,7.22
40,32,2,119.01
40,32,3,11.07
40,64,1,7.09
40,64,2,118.14
40,64,3,10.86
40,128,1,6.72
40,128,2,118.36
40,128,3,11.33
40,256,1,7.12
40,256,2,120.33
40,256,3,11.02
40,512,1,7.12
40,512,2,118.46
40,512,3,11.14
40,1024,1,6.84
40,1024,2,118.73
40,1024,3,10.82
40,2048,1,7.21
40,2048,2,120.52
